SC2000_S6=47,59,25,42,15,23,28,39,26,38,36,19,60,24,29,56,37,63,20,61,55,2,30,44,9,10,6,22,53,48,51,11,62,52,35,18,14,46,0,54,17,40,27,4,31,8,5,12,3,16,41,34,33,7,45,49,50,58,1,21,43,57,32,13
Fides_S6=54,0,48,13,15,18,35,53,63,25,45,52,3,20,33,41,8,10,57,37,59,36,34,2,26,50,58,24,60,19,14,42,46,61,5,49,31,11,28,4,12,30,55,22,9,6,32,23,27,39,21,17,16,29,62,1,40,47,51,56,7,43,38,44
APN_S6_inv=0,38,18,12,50,54,57,44,21,56,20,49,61,3,27,4,36,35,5,25,13,34,63,58,31,8,29,33,51,37,60,48,59,15,19,7,17,23,47,32,41,14,26,45,46,10,53,40,2,55,28,42,11,6,1,62,43,22,30,16,24,52,39,9
SC2000_S6_inv=38,58,21,48,43,46,26,53,45,24,25,31,47,63,36,4,49,40,35,11,18,59,27,5,13,2,8,42,6,14,22,44,62,52,51,34,10,16,9,7,41,50,3,60,23,54,37,0,29,55,56,30,33,28,39,20,15,61,57,1,12,19,32,17
Fides_S6_inv=1,55,23,12,39,34,45,60,16,44,17,37,40,3,30,4,52,51,5,29,13,50,43,47,27,9,24,48,38,53,41,36,46,14,22,6,21,19,62,49,56,15,31,61,63,10,32,57,2,35,25,58,11,7,0,42,59,18,26,20,28,33,54,8
Sakar_Gold=0,18,62,24,32,42,5,59,43,21,16,26,23,49,55,37,63,7,31,19,8,40,51,39,41,61,12,44,2,14,60,4,15,28,33,6,36,47,17,46,13,50,38,45,58,29,10,25,9,48,57,52,53,20,30,11,54,35,3,34,22,27,56,1
Sakar_Quadratic=0,58,47,28,3,29,24,15,23,53,32,11,46,40,45,34,61,35,62,41,16,42,39,20,1,7,26,21,22,52,57,18,30,54,17,48,9,5,50,55,8,56,31,38,37,49,6,27,2,14,33,36,59,19,44,13,63,43,4,25,60,12,51,10
Sakar_Cubic=0,45,48,15,58,32,14,49,13,7,41,12,3,54,55,26,42,25,22,34,60,38,53,31,21,51,4,24,27,28,43,33,39,19,30,63,16,1,59,8,57,62,29,50,6,44,36,17,23,10,56,37,9,47,5,20,40,52,35,2,18,61,46,11
Hangi_S6=0,13,24,53,61,34,44,19,22,58,12,1,33,29,50,47,36,14,27,20,7,63,51,46,48,11,35,60,2,41,26,21,23,59,43,39,49,10,5,30,62,6,9,16,25,52,38,42,40,3,54,56,28,32,8,17,55,57,15,37,31,4,45,18
SPEEDY=8,0,9,3,56,16,41,19,12,13,4,7,48,1,32,35,26,18,24,50,62,22,44,54,28,29,20,55,52,5,36,39,2,6,11,15,51,23,33,21,10,27,14,31,49,17,37,53,34,38,42,46,58,30,40,60,43,59,47,63,57,25,45,61
Sakar_Gold_inv=0,63,28,58,31,6,35,17,20,48,46,55,26,40,29,32,10,38,1,19,53,9,60,12,3,47,11,61,33,45,54,18,4,34,59,57,36,15,42,23,21,24,5,8,27,43,39,37,49,13,41,22,51,52,56,14,62,50,44,7,30,25,2,16
Sakar_Quadratic_inv=0,24,48,4,58,37,46,25,40,36,63,11,61,55,49,7,20,34,31,53,23,27,28,8,6,59,26,47,3,5,32,42,10,50,15,17,51,44,43,22,13,19,21,57,54,14,12,2,35,45,38,62,29,9,33,39,41,30,1,52,60,16,18,56
Sakar_Cubic_inv=0,37,59,12,26,54,44,9,39,52,49,63,11,8,6,3,36,47,60,33,55,24,18,48,27,17,15,28,29,42,34,23,5,31,19,58,46,51,21,32,56,10,16,30,45,1,62,53,2,7,43,25,57,22,13,14,50,40,4,38,20,61,41,35
Hangi_S6_inv=0,11,28,49,61,38,41,20,54,42,37,25,10,1,17,58,43,55,63,7,19,31,8,32,2,44,30,18,52,13,39,60,53,12,5,26,16,59,46,35,48,29,47,34,6,62,23,15,24,36,14,22,45,3,50,56,51,57,9,33,27,4,40,21
SPEEDY_inv=1,13,32,3,10,29,33,11,0,2,40,34,8,9,42,35,5,45,17,7,26,39,21,37,18,61,16,41,24,25,53,43,14,38,48,15,30,46,49,31,54,6,50,56,22,62,51,58,12,44,19,36,28,47,23,27,4,60,52,57,55,63,20,59
