rep0=0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
rep39=0,1,2,3,4,5,7,6,8,10,9,12,11,14,15,13
rep40=0,1,2,3,4,5,7,6,8,10,9,12,11,15,13,14
rep41=0,1,2,3,4,5,7,6,8,10,9,12,11,15,14,13
rep42=0,1,2,3,4,5,7,8,6,10,12,11,14,13,9,15
rep43=0,1,2,3,4,5,7,8,6,10,11,12,15,9,13,14
rep44=0,1,2,3,4,5,7,8,6,10,12,9,11,15,14,13
rep45=0,1,2,3,4,5,7,8,6,10,9,12,15,11,13,14
rep46=0,1,2,3,4,5,7,8,6,10,11,12,13,14,15,9
rep47=0,1,2,3,4,5,7,8,6,10,12,9,13,14,11,15
rep48=0,1,2,3,4,5,7,8,6,10,12,9,14,13,15,11
rep49=0,1,2,3,4,5,7,8,6,10,9,12,13,14,11,15
rep50=0,1,2,3,4,5,7,8,6,10,9,12,15,13,11,14
rep51=0,1,2,3,4,5,7,8,6,10,11,12,13,14,9,15
rep52=0,1,2,3,4,5,7,8,6,10,12,11,13,14,9,15
rep53=0,1,2,3,4,5,7,8,6,10,12,11,13,15,14,9
rep54=0,1,2,3,4,5,7,8,6,10,9,11,12,14,15,13
rep55=0,1,2,3,4,5,7,8,6,10,11,9,12,15,13,14
rep56=0,1,2,3,4,5,7,8,6,10,12,9,11,15,13,14
rep57=0,1,2,3,4,5,7,8,6,10,9,12,11,14,15,13
rep58=0,1,2,3,4,5,7,8,6,10,12,15,13,14,9,11
rep59=0,1,2,3,4,5,7,8,6,10,12,14,13,15,11,9
rep60=0,1,2,3,4,5,7,8,6,10,12,15,11,9,13,14
rep61=0,1,2,3,4,5,7,8,6,10,12,15,13,14,11,9
rep62=0,1,2,3,4,5,7,8,6,10,9,12,11,15,14,13
rep63=0,1,2,3,4,5,7,8,6,10,12,9,13,14,15,11
rep64=0,1,2,3,4,5,7,8,6,10,11,12,14,13,9,15
rep65=0,1,2,3,4,5,7,8,6,10,9,12,15,13,14,11
rep66=0,1,2,3,4,5,7,8,6,10,12,11,9,14,15,13
rep67=0,1,2,3,4,5,7,8,6,10,12,15,9,13,11,14
rep68=0,1,2,3,4,5,7,8,6,9,10,12,13,15,14,11
rep69=0,1,2,3,4,5,7,8,6,9,10,12,13,14,11,15
rep70=0,1,2,3,4,5,7,8,6,10,12,11,15,9,14,13
rep71=0,1,2,3,4,5,7,8,6,10,12,14,11,13,9,15
rep72=0,1,2,3,4,5,7,8,6,10,12,13,15,9,14,11
rep73=0,1,2,3,4,5,7,8,6,10,12,13,15,9,11,14
rep74=0,1,2,3,4,5,7,8,6,10,12,13,14,9,15,11
rep75=0,1,2,3,4,5,7,8,6,10,12,9,15,11,14,13
rep76=0,1,2,3,4,5,7,8,6,10,12,14,11,15,13,9
rep77=0,1,2,3,4,5,7,8,6,10,9,12,14,15,13,11
rep78=0,1,2,3,4,5,7,8,6,9,10,12,11,14,13,15
rep79=0,1,2,3,4,5,7,8,6,9,10,12,11,15,13,14
rep80=0,1,2,3,4,5,7,8,6,9,10,12,11,14,15,13
rep81=0,1,2,3,4,5,7,8,6,9,10,12,14,15,13,11
rep82=0,1,2,3,4,5,7,8,6,9,10,12,14,11,13,15
rep83=0,1,2,3,4,5,7,8,6,9,10,12,14,11,15,13
rep84=0,1,2,3,4,5,7,8,6,10,12,15,9,14,11,13
rep85=0,1,2,3,4,5,7,8,6,10,9,12,14,11,13,15
rep86=0,1,2,3,4,5,7,8,6,10,9,12,15,11,14,13
rep87=0,1,2,3,4,5,7,8,6,10,12,13,9,14,15,11
rep88=0,1,2,3,4,5,7,8,6,10,12,13,9,15,11,14
rep89=0,1,2,3,4,5,7,8,6,10,12,13,9,14,11,15
rep90=0,1,2,3,4,5,7,8,6,10,11,12,15,9,14,13
rep91=0,1,2,3,4,5,7,8,6,10,12,15,11,13,9,14
rep92=0,1,2,3,4,5,7,8,6,10,11,12,9,14,13,15
rep93=0,1,2,3,4,5,7,8,6,10,11,12,9,14,15,13
rep94=0,1,2,3,4,5,7,8,6,10,12,14,13,9,15,11
rep95=0,1,2,3,4,5,7,8,6,10,9,12,13,15,14,11
rep96=0,1,2,3,4,5,7,8,6,10,9,12,14,13,15,11
rep97=0,1,2,3,4,5,8,10,6,11,12,14,13,15,9,7
rep98=0,1,2,3,4,5,8,10,6,11,12,15,9,7,14,13
rep99=0,1,2,3,4,5,8,10,6,11,12,9,7,15,13,14
rep100=0,1,2,3,4,5,8,10,6,11,9,12,15,7,14,13
rep101=0,1,2,3,4,5,8,10,6,11,12,15,14,13,7,9
rep102=0,1,2,3,4,5,7,8,6,10,9,12,13,11,14,15
rep103=0,1,2,3,4,5,8,10,6,9,12,7,13,15,14,11
rep104=0,1,2,3,4,5,8,10,6,9,12,7,15,13,11,14
rep105=0,1,2,3,4,5,8,10,6,9,7,12,11,14,15,13
rep106=0,1,2,3,4,5,8,10,6,9,7,12,11,15,13,14
rep107=0,1,2,3,4,5,8,10,6,9,12,14,7,15,13,11
rep108=0,1,2,3,4,5,8,10,6,12,9,15,14,11,7,13
rep109=0,1,2,3,4,5,8,10,6,12,11,9,15,7,14,13
rep110=0,1,2,3,4,5,8,10,6,9,12,15,13,7,11,14
rep111=0,1,2,3,4,5,8,10,6,9,11,12,7,15,13,14
rep112=0,1,2,3,4,5,8,10,6,12,7,14,11,15,13,9
rep113=0,1,2,3,4,5,8,10,6,12,7,15,11,14,9,13
rep114=0,1,2,3,4,5,7,8,6,10,12,15,11,13,14,9
rep115=0,1,2,3,4,5,7,8,6,10,12,11,14,9,13,15
rep116=0,1,2,3,4,5,8,10,6,12,9,13,7,15,11,14
rep117=0,1,2,3,4,5,8,10,6,12,9,13,7,14,15,11
rep118=0,1,2,3,4,5,8,10,6,12,9,15,13,11,7,14
rep119=0,1,2,3,4,5,7,8,6,10,12,11,9,15,14,13
rep120=0,1,2,3,4,5,8,10,6,12,7,14,11,13,15,9
rep121=0,1,2,3,4,5,8,10,6,12,7,15,11,13,9,14
rep122=0,1,2,3,4,5,8,10,6,11,12,14,7,9,15,13
rep123=0,1,2,3,4,5,8,10,6,9,11,12,14,7,13,15
rep124=0,1,2,3,4,5,8,10,6,9,12,14,11,13,15,7
rep125=0,1,2,3,4,5,8,10,6,9,12,11,7,14,15,13
rep126=0,1,2,3,4,5,7,8,6,10,12,9,14,13,11,15
rep127=0,1,2,3,4,5,7,8,6,10,11,12,9,15,14,13
rep128=0,1,2,3,4,5,8,10,6,11,9,12,13,14,7,15
rep129=0,1,2,3,4,5,8,10,6,11,12,7,15,9,14,13
rep130=0,1,2,3,4,5,8,10,6,12,11,13,14,7,9,15
rep131=0,1,2,3,4,5,8,10,6,12,14,9,11,13,15,7
rep132=0,1,2,3,4,5,8,10,6,12,11,13,7,14,9,15
rep133=0,1,2,3,4,5,8,10,6,12,9,15,11,13,7,14
rep134=0,1,2,3,4,5,8,10,6,9,12,7,13,14,11,15
rep135=0,1,2,3,4,5,8,10,6,9,12,13,14,7,15,11
rep136=0,1,2,3,4,5,8,10,6,9,12,7,15,11,14,13
rep137=0,1,2,3,4,5,8,9,6,7,12,14,10,15,11,13
rep138=0,1,2,3,4,5,8,9,6,7,12,14,10,15,13,11
rep139=0,1,2,3,4,5,6,8,7,9,11,12,10,14,15,13
rep140=0,1,2,3,4,5,6,8,7,10,11,12,9,15,13,14
rep141=0,1,2,3,4,5,8,9,6,7,12,14,11,15,13,10
rep142=0,1,2,3,4,5,7,8,6,10,12,13,9,15,14,11
rep143=0,1,2,3,4,5,8,10,6,9,12,15,11,7,13,14
rep144=0,1,2,3,4,5,8,10,6,9,12,15,13,14,11,7
rep145=0,1,2,3,4,5,8,10,6,9,11,12,15,7,14,13
rep146=0,1,2,3,4,5,8,10,6,9,12,11,7,15,13,14
rep147=0,1,2,3,4,5,7,8,6,10,11,12,15,13,14,9
rep148=0,1,2,3,4,5,7,8,6,10,11,12,14,9,15,13
rep149=0,1,2,3,4,5,7,8,6,10,11,12,15,13,9,14
rep150=0,1,2,3,4,5,8,10,6,11,12,15,13,14,9,7
rep151=0,1,2,3,4,5,8,10,6,11,12,15,9,7,13,14
rep152=0,1,2,3,4,5,8,10,6,11,12,15,7,14,9,13
rep153=0,1,2,3,4,5,8,10,6,11,9,12,14,13,15,7
rep154=0,1,2,3,4,6,7,8,5,9,12,15,11,14,10,13
rep155=0,1,2,3,4,6,7,8,5,9,12,15,14,11,13,10
rep156=0,1,2,3,4,5,8,10,6,9,12,15,14,7,11,13
rep157=0,1,2,3,4,5,8,10,6,9,12,14,15,11,7,13
rep158=0,1,2,3,4,5,8,10,6,11,12,15,7,13,9,14
rep159=0,1,2,3,4,5,8,10,6,11,12,14,13,7,9,15
rep160=0,1,2,3,4,6,8,11,5,9,12,14,13,7,10,15
rep161=0,1,2,3,4,5,8,10,6,11,7,12,14,13,15,9
rep162=0,1,2,3,4,5,8,10,6,11,7,12,13,15,14,9
rep163=0,1,2,3,4,6,8,12,5,9,11,13,14,7,10,15
rep164=0,1,2,3,4,5,8,10,6,11,7,12,9,15,13,14
rep165=0,1,2,3,4,5,8,10,6,11,7,12,9,14,15,13
rep166=0,1,2,3,4,5,8,9,6,10,11,12,14,7,13,15
rep167=0,1,2,3,4,5,8,10,6,7,11,12,9,14,15,13
rep168=0,1,2,3,4,5,8,10,6,12,11,15,14,7,13,9
rep169=0,1,2,3,4,5,7,8,6,10,12,15,11,9,14,13
rep170=0,1,2,3,4,5,7,8,6,10,12,14,11,9,13,15
rep171=0,1,2,3,4,5,8,10,6,12,11,15,7,14,9,13
rep172=0,1,2,3,4,5,8,10,6,12,9,13,11,15,7,14
rep173=0,1,2,3,4,5,7,8,6,10,9,12,11,13,15,14
rep174=0,1,2,3,4,5,8,10,6,9,12,15,7,14,11,13
rep175=0,1,2,3,4,5,7,8,6,10,12,13,14,9,11,15
rep176=0,1,2,3,4,5,7,8,6,9,10,12,15,14,11,13
rep177=0,1,2,3,4,5,7,8,6,9,11,12,14,10,15,13
rep178=0,1,2,3,4,5,8,10,6,12,7,13,11,15,14,9
rep179=0,1,2,3,4,5,7,8,6,10,9,12,14,13,11,15
rep180=0,1,2,3,4,5,8,10,6,12,9,13,7,15,14,11
rep181=0,1,2,3,4,5,8,9,6,10,11,12,7,15,13,14
rep182=0,1,2,3,4,5,8,10,6,7,11,12,9,15,13,14
rep183=0,1,2,3,4,5,8,9,6,10,12,15,7,11,14,13
rep184=0,1,2,3,4,5,8,10,6,7,12,15,9,11,14,13
rep185=0,1,2,3,4,5,8,9,6,10,12,14,7,11,15,13
rep186=0,1,2,3,4,5,8,10,6,7,12,15,9,11,13,14
rep187=0,1,2,3,4,5,7,8,6,10,12,14,15,11,9,13
rep188=0,1,2,3,4,5,7,8,6,10,12,15,14,11,9,13
rep189=0,1,2,3,4,5,7,8,6,9,12,14,15,11,13,10
rep190=0,1,2,3,4,5,8,10,6,12,7,13,11,14,15,9
rep191=0,1,2,3,4,5,8,10,6,12,7,15,11,9,13,14
rep192=0,1,2,3,4,5,8,10,6,12,7,15,11,14,13,9
rep193=0,1,2,3,4,5,8,10,6,12,7,15,13,11,9,14
rep194=0,1,2,3,4,5,7,8,6,10,12,15,14,13,9,11
rep195=0,1,2,3,4,5,8,10,6,11,12,7,13,14,9,15
rep196=0,1,2,3,4,6,8,12,5,9,11,13,14,10,7,15
rep197=0,1,2,3,4,5,8,10,6,12,11,13,14,9,7,15
rep198=0,1,2,3,4,5,8,10,6,9,12,7,11,14,15,13
rep199=0,1,2,3,4,5,8,10,6,11,12,15,13,9,14,7
rep200=0,1,2,3,4,5,8,10,6,11,12,15,13,7,9,14
rep201=0,1,2,3,4,5,7,8,6,10,12,11,9,15,13,14
rep202=0,1,2,3,4,5,7,8,6,10,12,14,9,13,15,11
rep203=0,1,2,3,4,5,7,8,6,10,12,15,9,11,13,14
rep204=0,1,2,3,4,5,7,8,6,10,12,14,9,11,15,13
rep205=0,1,2,3,4,5,7,8,6,10,12,13,11,9,14,15
rep206=0,1,2,3,4,5,8,9,6,10,11,12,14,13,15,7
rep207=0,1,2,3,4,5,8,10,6,7,11,12,14,13,15,9
rep208=0,1,2,3,4,5,8,10,6,9,12,7,11,15,13,14
rep209=0,1,2,3,4,6,8,11,5,9,12,15,7,13,10,14
rep210=0,1,2,3,4,6,8,10,5,11,12,15,7,13,9,14
rep211=0,1,2,3,4,5,8,10,6,9,12,14,13,7,15,11
rep212=0,1,2,3,4,5,8,10,6,9,11,12,7,14,15,13
rep213=0,1,2,3,4,5,8,9,6,10,11,12,7,14,15,13
rep214=0,1,2,3,4,5,8,10,6,7,12,14,11,9,15,13
rep215=0,1,2,3,4,5,8,9,6,10,12,14,11,7,15,13
rep216=0,1,2,3,4,5,7,8,6,9,12,13,14,15,11,10
rep217=0,1,2,3,4,5,6,8,7,10,11,12,9,14,15,13
rep218=0,1,2,3,4,5,7,8,6,9,11,12,13,14,15,10
rep219=0,1,2,3,4,5,7,8,6,10,12,15,9,11,14,13
rep220=0,1,2,3,4,6,8,10,5,9,12,15,13,14,7,11
rep221=0,1,2,3,4,5,7,8,6,9,12,14,10,15,13,11
rep222=0,1,2,3,4,6,7,8,5,9,12,15,14,10,13,11
rep223=0,1,2,3,4,6,8,10,5,11,12,15,13,14,7,9
rep224=0,1,2,3,4,5,7,8,6,9,12,14,11,15,13,10
rep225=0,1,2,3,4,5,6,8,7,9,12,14,11,15,13,10
rep226=0,1,2,3,4,5,7,8,6,10,11,12,9,15,13,14
rep227=0,1,2,3,4,5,7,8,6,10,12,15,13,9,11,14
rep228=0,1,2,3,4,5,8,10,6,9,11,12,14,13,15,7
rep229=0,1,2,3,4,5,8,10,6,12,9,13,11,15,14,7
rep230=0,1,2,3,4,5,8,10,6,12,14,11,7,15,13,9
rep231=0,1,2,3,4,6,8,11,5,9,12,14,13,10,7,15
rep232=0,1,2,3,4,5,8,10,6,12,9,15,13,11,14,7
rep233=0,1,2,3,4,5,8,10,6,7,11,9,12,15,13,14
rep234=0,1,2,3,4,5,8,9,6,10,11,7,12,15,13,14
rep235=0,1,2,3,4,5,8,10,6,9,11,7,12,14,15,13
rep236=0,1,2,3,4,5,8,10,6,11,9,7,12,15,13,14
rep237=0,1,2,3,4,5,8,10,6,9,11,7,12,15,13,14
rep238=0,1,2,3,4,5,7,6,8,9,12,14,10,15,11,13
rep239=0,1,2,3,4,5,7,6,8,9,12,14,10,15,13,11
rep240=0,1,2,3,4,5,7,6,8,10,9,12,13,14,15,11
rep241=0,1,2,3,4,5,7,6,8,10,9,12,13,14,11,15
rep242=0,1,2,3,4,5,7,6,8,10,9,12,13,15,14,11
rep243=0,1,2,3,4,5,7,6,8,10,12,15,9,11,13,14
rep244=0,1,2,3,4,5,7,6,8,10,12,14,9,11,15,13
rep245=0,1,2,3,4,5,7,6,8,10,12,15,9,11,14,13
rep246=0,1,2,3,4,5,6,8,7,9,11,10,14,15,13,12
rep247=0,1,2,3,4,5,6,8,7,10,11,9,13,14,15,12
rep248=0,1,2,3,4,5,6,8,7,9,12,14,15,11,13,10
rep249=0,1,2,3,4,5,8,10,6,9,12,15,14,11,7,13
rep250=0,1,2,3,4,5,8,10,6,9,12,13,7,15,14,11
rep251=0,1,2,3,4,5,8,10,6,9,12,14,15,7,13,11
rep252=0,1,2,3,4,5,8,10,6,9,12,14,15,11,13,7
rep253=0,1,2,3,4,5,8,10,6,9,12,14,7,15,11,13
rep254=0,1,2,3,4,5,8,10,6,9,11,12,15,13,7,14
rep255=0,1,2,3,4,5,7,8,6,10,11,12,14,13,15,9
rep256=0,1,2,3,4,5,8,9,6,10,12,15,7,11,13,14
rep257=0,1,2,3,4,5,8,9,6,10,11,12,15,13,7,14
rep258=0,1,2,3,4,5,8,9,6,10,12,14,7,11,13,15
rep259=0,1,2,3,4,5,8,9,6,10,12,14,15,13,11,7
rep260=0,1,2,3,4,5,8,9,6,10,11,7,12,14,15,13
rep261=0,1,2,3,4,5,8,10,6,9,12,14,11,7,15,13
rep262=0,1,2,3,4,5,8,10,6,12,7,13,11,9,15,14
rep263=0,1,2,3,4,5,8,10,6,11,12,7,14,13,15,9
rep264=0,1,2,3,4,5,8,10,6,12,7,13,15,14,11,9
rep265=0,1,2,3,4,5,8,10,6,11,12,13,14,9,15,7
rep266=0,1,2,3,4,6,8,10,5,11,12,15,14,13,9,7
rep267=0,1,2,3,4,5,7,8,6,10,11,12,14,9,13,15
rep268=0,1,2,3,4,5,8,10,6,9,12,15,11,14,13,7
rep269=0,1,2,3,4,5,8,10,6,9,12,14,11,15,13,7
rep270=0,1,2,3,4,6,8,11,5,12,9,13,14,10,7,15
rep271=0,1,2,3,4,6,8,11,5,12,9,13,10,15,14,7
rep272=0,1,2,3,4,6,8,11,5,12,13,7,9,15,10,14
rep273=0,1,2,3,4,5,8,10,6,12,7,15,14,11,9,13
rep274=0,1,2,3,4,5,8,10,6,11,12,14,13,9,7,15
rep275=0,1,2,3,4,5,8,10,6,12,15,7,11,14,9,13
rep276=0,1,2,3,4,5,8,10,6,12,15,7,11,13,9,14
rep277=0,1,2,3,4,5,8,10,6,11,12,9,13,14,7,15
rep278=0,1,2,3,4,6,8,11,5,12,13,7,10,15,9,14
rep279=0,1,2,3,4,5,8,10,6,11,12,7,13,15,14,9
rep280=0,1,2,3,4,5,7,8,6,9,10,12,14,13,11,15
rep281=0,1,2,3,4,5,7,8,6,9,10,12,15,11,13,14
rep282=0,1,2,3,4,6,8,11,5,12,13,7,15,9,14,10
rep283=0,1,2,3,4,6,8,11,5,12,9,13,14,7,10,15
rep284=0,1,2,3,4,5,8,10,6,11,12,15,9,13,7,14
rep285=0,1,2,3,4,5,7,8,6,9,12,14,10,15,11,13
rep286=0,1,2,3,4,5,8,9,6,7,12,14,15,11,13,10
rep287=0,1,2,3,4,5,7,6,8,10,9,12,13,15,11,14
rep288=0,1,2,3,4,5,6,7,8,9,12,14,15,11,13,10
rep289=0,1,2,3,4,5,6,7,8,9,12,14,11,15,13,10
rep290=0,1,2,3,4,5,6,7,8,9,11,12,14,10,15,13
rep291=0,1,2,3,4,5,7,6,8,10,9,11,12,15,14,13
rep292=0,1,2,3,4,5,7,6,8,10,9,11,12,14,15,13
rep293=0,1,2,3,4,5,7,6,8,9,12,13,14,15,11,10
rep294=0,1,2,3,4,5,6,7,8,9,11,10,14,15,13,12
rep295=0,1,2,3,4,6,8,12,5,9,13,15,10,7,11,14
rep296=0,1,2,3,4,6,8,10,5,11,12,15,7,14,9,13
rep297=0,1,2,3,4,6,8,10,5,11,12,15,7,9,13,14
rep298=0,1,2,3,4,5,6,8,7,10,12,14,11,9,15,13
rep299=0,1,2,3,4,5,6,7,8,10,12,14,11,9,15,13
rep300=0,1,2,3,4,5,8,9,6,7,12,13,14,15,10,11
rep301=0,1,2,3,4,5,8,9,6,7,12,13,14,15,11,10
